consider deemed
minute small
accord opinion
evident clear

practice operation

intend purpose

concern interest

commit act

issue situation

approach moveTowards

establish found

conduct direct

engage consume

obtain possession

scarce deficient

policy plan

straight successive

stock capital

apparent clear

property basic

fancy imagine

concept idea

quote implication

court assembly

appoint assign

vain fail

instance occurence

coast shore

project plan

commision group

circumstance condition

constitute compose

level position

affect influence

institute groundWork

appeal attractive

generate existence

theory explanation

range different

campaign race

league organise

labor work

grant allow

contract bidding

yield supply

wander move

convince realise

skill ability

hurry fast

reflect image

furnish room

hello greeting

intimate association

table furniture

car vehicle

oil fluid

crew group

humble polite

scheme plan

abundant more

tidy neat

attitude mentalState

merit beneficial

scale magnitude

resource supply

tour journey

phone device

bag luggage

mouse device
